"","Date","rlc_end_time","specimenID","uid","plant_part","plantID","salinity","treatment","day_group","rlc_day","pmax","rETRmax","rETRmaxYpoint1","maxNPQ_Ypoint1","deltaNPQ","alpha.est","alpha.st_err","alpha.t","alpha.p","ek.est","ek.st_err","ek.t","ek.p","run"
"1","2024-08-03","13:38:04","ct149","2024-08-03_ct149","under",49,"35","1","u_d1_r2","1",79.44,84.46,84.46,0.621,0.642,0.581,0.034,17.325,0,136.821,17.569,7.787,0,"2"
"2","2024-08-03","13:43:13","ct150","2024-08-03_ct150","under",50,"28","1","u_d1_r2","1",94.29,86.36,86.36,0.403,0.524,0.776,0.046,16.961,0,121.505,15.22,7.983,0,"2"
"3","2024-08-03","13:47:32","ct151","2024-08-03_ct151","under",51,"35","2","u_d1_r2","1",58.86,70.52,53.01,0.474,0.437,0.497,0.021,23.869,0,118.396,10.432,11.349,0,"2"
"4","2024-08-03","13:51:55","ct152","2024-08-03_ct152","under",52,"28","2","u_d1_r2","1",44.3,45.1,40.47,0.112,0.077,0.327,0.014,22.699,0,135.563,13.239,10.239,0,"2"
"5","2024-08-03","13:56:22","ct153","2024-08-03_ct153","under",53,"35","3","u_d1_r2","1",22.86,33.62,19.57,0.436,0.178,0.291,0.039,7.436,0,78.427,18.766,4.179,0.006,"2"
"6","2024-08-03","14:02:07","ct154","2024-08-03_ct154","under",54,"28","3","u_d1_r2","1",31.82,30.66,29.92,0.474,0.339,0.369,0.027,13.745,0,86.141,11.595,7.429,0,"2"
"7","2024-08-03","14:08:07","ct155","2024-08-03_ct155","under",55,"35","4","u_d1_r2","1",49.38,54.37,47.88,0.73,0.504,0.658,0.019,34.89,0,75.097,3.761,19.967,0,"2"
"8","2024-08-03","14:12:33","ct156","2024-08-03_ct156","under",56,"28","4","u_d1_r2","1",20.68,28.12,13.25,0.106,0,0.19,0.019,9.852,0,109.02,22.526,4.84,0.003,"2"
"9","2024-08-03","14:16:59","ct157","2024-08-03_ct157","under",57,"35","1","u_d1_r2","1",28.22,42.64,27.17,0.488,0.172,0.317,0.036,8.695,0,89.104,19.226,4.635,0.004,"2"
"10","2024-08-03","14:21:32","ct158","2024-08-03_ct158","under",58,"28","1","u_d1_r2","1",21.36,24.38,20.52,0.338,0.19,0.295,0.028,10.369,0,72.331,11.998,6.028,0.001,"2"
"11","2024-08-03","14:26:04","ct159","2024-08-03_ct159","under",59,"35","2","u_d1_r2","1",49.23,48.38,46.62,0.275,0.189,0.471,0.016,28.933,0,104.419,7.221,14.46,0,"2"
"12","2024-08-03","14:30:37","ct160","2024-08-03_ct160","under",60,"28","2","u_d1_r2","1",47.34,45.88,45.88,0.669,0.43,0.573,0.028,20.437,0,82.641,7.354,11.238,0,"2"
"13","2024-08-03","14:36:35","ct161","2024-08-03_ct161","under",61,"35","3","u_d1_r2","1",27.6,41,22.8,0.054,0.054,0.269,0.015,18.467,0,102.458,11.017,9.3,0,"2"
"14","2024-08-03","14:41:31","ct162","2024-08-03_ct162","under",62,"28","3","u_d1_r2","1",28.14,40.62,21.66,0.675,0.349,0.283,0.022,12.633,0,99.534,15.463,6.437,0.001,"2"
"15","2024-08-03","14:46:49","ct163","2024-08-03_ct163","under",63,"35","4","u_d1_r2","1",28.1,35.26,23.75,0.48,0.277,0.347,0.028,12.574,0,80.858,11.589,6.977,0,"2"
"16","2024-08-03","14:51:14","ct164","2024-08-03_ct164","under",64,"28","4","u_d1_r2","1",24.47,26.87,20.71,0.293,0.139,0.251,0.017,15.034,0,97.371,12.598,7.729,0,"2"
"17","2024-08-03","14:55:39","ct165","2024-08-03_ct165","under",65,"35","1","u_d1_r2","1",43.88,43.46,43.26,0.328,0.236,0.433,0.014,31.553,0,101.269,6.343,15.965,0,"2"
"18","2024-08-03","15:00:07","ct166","2024-08-03_ct166","under",66,"28","1","u_d1_r2","1",44.69,45.92,40.75,0.295,0.153,0.382,0.012,32.645,0,116.93,7.496,15.599,0,"2"
"19","2024-08-03","15:04:38","ct167","2024-08-03_ct167","under",67,"35","2","u_d1_r2","1",13.58,27.88,9.9,0.113,0,0.204,0.032,6.324,0.001,66.5,17.456,3.809,0.009,"2"
"20","2024-08-03","15:11:56","ct168","2024-08-03_ct168","under",68,"28","2","u_d1_r2","1",10.97,24.38,10.53,0.321,0.06,0.429,0.324,1.325,0.234,25.559,22.235,1.149,0.294,"2"
"21","2024-08-03","15:16:46","ct169","2024-08-03_ct169","under",69,"35","3","u_d1_r2","1",51.99,57.5,47.46,0.192,0.137,0.343,0.011,31.65,0,151.653,11.088,13.677,0,"2"
"22","2024-08-03","15:21:14","ct170","2024-08-03_ct170","under",70,"28","3","u_d1_r2","1",19.16,23.75,19.76,0.482,0.203,0.896,0.246,3.639,0.011,21.38,6.46,3.31,0.016,"2"
"23","2024-08-03","15:25:44","ct171","2024-08-03_ct171","under",71,"35","4","u_d1_r2","1",23.81,25.62,22.42,0.191,0.141,0.419,0.028,14.899,0,56.884,5.934,9.586,0,"2"
"24","2024-08-03","15:30:44","ct172","2024-08-03_ct172","under",72,"28","4","u_d1_r2","1",22.66,22.8,22.42,0.487,0.237,0.49,0.055,8.885,0,46.246,7.422,6.231,0.001,"2"
"25","2024-08-03","15:35:10","ct173","2024-08-03_ct173","under",73,"35","1","u_d1_r2","1",34.1,39.9,34.48,0.49,0.237,0.47,0.024,19.793,0,72.507,6.307,11.496,0,"2"
"26","2024-08-03","15:39:33","ct174","2024-08-03_ct174","under",74,"28","1","u_d1_r2","1",30.74,36.88,32.49,0.21,0.177,0.359,0.03,11.85,0,85.713,13.355,6.418,0.001,"2"
"27","2024-08-03","15:44:04","ct175","2024-08-03_ct175","under",75,"35","2","u_d1_r2","1",84.74,82.82,82.82,0.66,0.569,0.557,0.013,41.502,0,151.999,8.483,17.919,0,"2"
"28","2024-08-03","15:48:29","ct176","2024-08-03_ct176","under",76,"28","2","u_d1_r2","1",25.15,30.34,25.46,0.474,0.188,0.583,0.04,14.745,0,43.135,4.056,10.636,0,"2"
"29","2024-08-03","15:53:03","ct177","2024-08-03_ct177","under",77,"35","3","u_d1_r2","1",25.1,32.8,20.25,0.159,0.069,0.308,0.024,12.93,0,81.576,11.412,7.148,0,"2"
"30","2024-08-03","15:57:32","ct178","2024-08-03_ct178","under",78,"28","3","u_d1_r2","1",39.92,54.37,35.53,0.473,0.278,0.519,0.031,16.563,0,76.847,8.186,9.388,0,"2"
"31","2024-08-03","16:02:59","ct179","2024-08-03_ct179","under",79,"35","4","u_d1_r2","1",28.87,36.88,21.47,0.082,0.042,0.269,0.021,12.998,0,107.331,16.704,6.425,0.001,"2"
"32","2024-08-03","16:07:31","ct180","2024-08-03_ct180","under",80,"28","4","u_d1_r2","1",20.96,24.6,20.52,0.432,0.197,0.435,0.033,13.118,0,48.222,5.333,9.042,0,"2"
"33","2024-08-03","16:11:54","ct181","2024-08-03_ct181","under",81,"35","1","u_d1_r2","1",79.31,87.74,87.74,0.616,0.478,0.562,0.018,30.362,0,141.208,10.473,13.483,0,"2"
"34","2024-08-03","16:16:18","ct182","2024-08-03_ct182","under",82,"28","1","u_d1_r2","1",63.28,61.5,60.9,0.484,0.395,0.668,0.031,21.702,0,94.782,8.403,11.279,0,"2"
"35","2024-08-03","16:21:14","ct183","2024-08-03_ct183","under",83,"35","2","u_d1_r2","1",31.25,33.62,32.2,0.566,0.285,0.556,0.018,30.667,0,56.214,2.835,19.83,0,"2"
"36","2024-08-03","16:25:48","ct184","2024-08-03_ct184","under",84,"28","2","u_d1_r2","1",33.7,39.36,33.06,0.505,0.237,0.48,0.02,23.693,0,70.199,5.033,13.949,0,"2"
"37","2024-08-03","16:30:34","ct185","2024-08-03_ct185","under",85,"35","3","u_d1_r2","1",22.47,28.12,16.88,0.115,0.015,0.25,0.021,12.033,0,89.816,14.048,6.393,0.001,"2"
"38","2024-08-03","16:35:07","ct186","2024-08-03_ct186","under",86,"28","3","u_d1_r2","1",53.57,55.02,55.02,0.938,0.451,0.418,0.012,33.45,0,128.201,8.315,15.419,0,"2"
"39","2024-08-03","16:39:40","ct187","2024-08-03_ct187","under",87,"35","4","u_d1_r2","1",35.52,38.12,31.64,0.193,0.161,0.381,0.022,17.118,0,93.208,10.405,8.958,0,"2"
"40","2024-08-03","16:44:30","ct188","2024-08-03_ct188","under",88,"28","4","u_d1_r2","1",78.74,87.74,87.74,0.785,0.565,0.642,0.021,31.065,0,122.738,8.427,14.564,0,"2"
"41","2024-08-03","16:49:04","ct189","2024-08-03_ct189","under",89,"35","1","u_d1_r2","1",122.99,112.34,112.34,0.611,0.622,0.777,0.026,30.195,0,158.375,12.34,12.834,0,"2"
"42","2024-08-03","16:58:57","ct190","2024-08-03_ct190","under",90,"28","1","u_d1_r2","1",42.08,54.94,42.84,0.417,0.258,0.483,0.03,15.891,0,87.076,10.183,8.551,0,"2"
"43","2024-08-03","17:03:20","ct191","2024-08-03_ct191","under",91,"35","2","u_d1_r2","1",123.93,120.54,120.54,0.559,0.427,0.562,0.016,35.048,0,220.56,16.814,13.118,0,"2"
"44","2024-08-03","17:08:28","ct192","2024-08-03_ct192","under",92,"28","2","u_d1_r2","1",46.16,55,46.2,0.682,0.335,0.469,0.016,30.005,0,98.382,6.405,15.36,0,"2"
"45","2024-08-03","17:13:08","ct193","2024-08-03_ct193","under",93,"35","3","u_d1_r2","1",32.5,44.28,31.92,0.164,0.098,0.473,0.028,16.769,0,68.746,6.902,9.96,0,"2"
"46","2024-08-03","17:17:45","ct194","2024-08-03_ct194","under",94,"28","3","u_d1_r2","1",21.05,26.25,20.33,0.352,0.135,0.517,0.033,15.649,0,40.717,3.526,11.549,0,"2"
"47","2024-08-03","17:23:41","ct195","2024-08-03_ct195","under",95,"35","4","u_d1_r2","1",28.71,40.18,24.51,0.347,0.14,0.367,0.027,13.489,0,78.329,10.327,7.585,0,"2"
"48","2024-08-03","17:28:12","ct196","2024-08-03_ct196","under",96,"28","4","u_d1_r2","1",19.05,36.9,16.12,0.379,0.165,0.294,0.035,8.287,0,64.787,12.837,5.047,0.002,"2"
"49","2024-08-16","13:37:39","ct213","2024-08-16_ct213","canopy",13,"35","3","c_d5_r3","5",126.86,118.9,118.9,0.416,0.445,0.541,0.011,49.487,0,234.66,12.985,18.072,0,"3"
"50","2024-08-16","13:42:13","ct214","2024-08-16_ct214","canopy",14,"28","3","c_d5_r3","5",321.59,212.5,212.5,1.907,1.972,0.582,0.031,18.781,0,552.655,122.574,4.509,0.004,"3"
"51","2024-08-16","13:46:41","ct215","2024-08-16_ct215","canopy",15,"35","4","c_d5_r3","5",93.39,89.46,89.46,0.555,0.512,0.626,0.02,31.689,0,149.176,10.825,13.78,0,"3"
"52","2024-08-16","13:51:12","ct216","2024-08-16_ct216","canopy",16,"28","4","c_d5_r3","5",106.02,105,105,0.462,0.597,0.746,0.016,45.945,0,142.14,6.984,20.352,0,"3"
"53","2024-08-16","13:55:58","ct209","2024-08-16_ct209","canopy",9,"35","1","c_d5_r3","5",85.22,80.65,80.65,0.85,0.971,0.893,0.058,15.457,0,95.466,11.918,8.01,0,"3"
"54","2024-08-16","14:01:43","ct210","2024-08-16_ct210","canopy",10,"28","1","c_d5_r3","5",138.39,130.38,130.38,0.433,0.384,0.537,0.003,205.514,0,257.665,3.566,72.248,0,"3"
"55","2024-08-16","14:06:17","ct211","2024-08-16_ct211","canopy",11,"35","2","c_d5_r3","5",87.63,83.75,83.75,0.46,0.528,0.696,0.032,21.79,0,125.819,12.436,10.117,0,"3"
"56","2024-08-16","14:11:01","ct212","2024-08-16_ct212","canopy",12,"28","2","c_d5_r3","5",118.22,108.24,108.24,0.335,0.293,0.475,0.008,59.194,0,248.923,11.793,21.107,0,"3"
"57","2024-08-16","14:15:46","ct221","2024-08-16_ct221","canopy",21,"35","3","c_d5_r3","5",104.41,100,100,0.281,0.314,0.497,0.005,93.164,0,209.973,5.907,35.547,0,"3"
"58","2024-08-16","14:20:49","ct222","2024-08-16_ct222","canopy",22,"28","3","c_d5_r3","5",61.29,60.62,56.28,0.161,0.107,0.502,0.023,21.968,0,122.112,11.833,10.32,0,"3"
"59","2024-08-16","14:25:18","ct223","2024-08-16_ct223","canopy",23,"35","4","c_d5_r3","5",125.17,116.34,116.34,0.5,0.657,0.747,0.03,24.647,0,167.487,16.331,10.256,0,"3"
"60","2024-08-16","14:29:45","ct224","2024-08-16_ct224","canopy",24,"28","4","c_d5_r3","5",140.68,123.12,123.12,0.298,0.481,0.675,0.025,27.45,0,208.294,19.826,10.506,0,"3"
"61","2024-08-16","14:39:44","ct217","2024-08-16_ct217","canopy",17,"35","1","c_d5_r3","5",110.45,105.78,105.78,1,1.08,0.876,0.039,22.282,0,126.092,12.198,10.337,0,"3"
"62","2024-08-16","14:45:47","ct218","2024-08-16_ct218","canopy",18,"28","1","c_d5_r3","5",91.92,85.22,85.22,0.846,0.836,0.722,0.045,15.993,0,127.27,17.215,7.393,0,"3"
"63","2024-08-16","14:50:17","ct219","2024-08-16_ct219","canopy",19,"35","2","c_d5_r3","5",75.2,72.98,72.66,0.46,0.463,0.68,0.026,26.472,0,110.51,8.544,12.935,0,"3"
"64","2024-08-16","14:54:45","ct220","2024-08-16_ct220","canopy",20,"28","2","c_d5_r3","5",94.83,92.5,92.5,0.162,0.243,0.526,0.013,40.923,0,180.118,10.875,16.563,0,"3"
"65","2024-08-16","15:00:06","ct229","2024-08-16_ct229","canopy",29,"35","3","c_d5_r3","5",121.12,112.5,112.5,0.29,0.365,0.634,0.022,29.109,0,191.091,16.59,11.518,0,"3"
"66","2024-08-16","15:04:47","ct230","2024-08-16_ct230","canopy",30,"28","3","c_d5_r3","5",61.59,60.62,55.02,0.007,0,0.44,0.01,44.032,0,139.908,7.13,19.623,0,"3"
"67","2024-08-16","15:09:15","ct231","2024-08-16_ct231","canopy",31,"35","4","c_d5_r3","5",102.28,94.92,94.92,0.444,0.567,0.706,0.031,22.939,0,144.812,14.354,10.089,0,"3"
"68","2024-08-16","15:14:47","ct232","2024-08-16_ct232","canopy",32,"28","4","c_d5_r3","5",95.76,86.94,86.94,0.224,0.349,0.577,0.024,24.075,0,165.866,16.496,10.055,0,"3"
"69","2024-08-16","15:20:59","ct225","2024-08-16_ct225","canopy",25,"35","1","c_d5_r3","5",119.22,127.1,127.1,0.472,0.416,0.55,0.011,51.751,0,216.778,11.116,19.501,0,"3"
"70","2024-08-16","15:25:55","ct226","2024-08-16_ct226","canopy",26,"28","1","c_d5_r3","5",161.19,141.25,141.25,0.696,0.801,0.775,0.034,23.067,0,208.008,23.547,8.834,0,"3"
"71","2024-08-16","15:31:56","ct227","2024-08-16_ct227","canopy",27,"35","2","c_d5_r3","5",128.17,124.38,124.38,0.538,0.551,0.668,0.025,26.323,0,191.95,18.461,10.398,0,"3"
"72","2024-08-16","15:36:28","ct228","2024-08-16_ct228","canopy",28,"28","2","c_d5_r3","5",89.79,82.36,82.36,0.197,0.42,0.742,0.043,17.277,0,121.055,14.865,8.144,0,"3"
"73","2024-08-16","15:41:21","ct237","2024-08-16_ct237","canopy",37,"35","3","c_d5_r3","5",79.5,77.5,77.5,0.372,0.41,0.654,0.028,23.191,0,121.626,11.147,10.911,0,"3"
"74","2024-08-16","15:46:36","ct238","2024-08-16_ct238","canopy",38,"28","3","c_d5_r3","5",143.08,127.5,127.5,0.8,0.709,0.499,0.015,32.704,0,286.701,26.088,10.99,0,"3"
"75","2024-08-16","15:51:14","ct239","2024-08-16_ct239","canopy",39,"35","4","c_d5_r3","5",73.34,68.75,68.75,0.459,0.425,0.577,0.024,24.16,0,127.114,11.377,11.173,0,"3"
"76","2024-08-16","15:55:44","ct240","2024-08-16_ct240","canopy",40,"28","4","c_d5_r3","5",118.11,109.88,109.88,0.483,0.412,0.508,0.014,35.385,0,232.481,17.924,12.97,0,"3"
"77","2024-08-16","16:00:25","ct233","2024-08-16_ct233","canopy",33,"35","1","c_d5_r3","5",103.67,91.98,91.98,0.438,0.418,0.533,0.031,16.981,0,194.365,29.115,6.676,0.001,"3"
"78","2024-08-16","16:05:18","ct234","2024-08-16_ct234","canopy",34,"28","1","c_d5_r3","5",85.61,82,81.9,0.62,0.514,0.597,0.027,22.305,0,143.433,14.567,9.846,0,"3"
"79","2024-08-16","16:09:56","ct235","2024-08-16_ct235","canopy",35,"35","2","c_d5_r3","5",57.54,62.32,51.66,0.06,0.056,0.386,0.016,24.326,0,148.888,14.064,10.586,0,"3"
"80","2024-08-16","16:14:28","ct236","2024-08-16_ct236","canopy",36,"28","2","c_d5_r3","5",95.92,93.48,93.48,0.041,0.073,0.356,0.011,32.789,0,269.195,23.784,11.318,0,"3"
"81","2024-08-16","16:18:58","ct245","2024-08-16_ct245","canopy",45,"35","3","c_d5_r3","5",105.03,100.04,100.04,0.23,0.213,0.437,0.009,49.918,0,240.229,13.303,18.058,0,"3"
"82","2024-08-16","16:24:46","ct246","2024-08-16_ct246","canopy",46,"28","3","c_d5_r3","5",78.15,68.46,68.46,0.275,0.214,0.505,0.037,13.733,0,154.673,26.261,5.89,0.001,"3"
"83","2024-08-16","16:29:58","ct247","2024-08-16_ct247","canopy",47,"35","4","c_d5_r3","5",85.57,82.82,82.82,0.101,0.106,0.477,0.02,23.658,0,179.301,18.693,9.592,0,"3"
"84","2024-08-16","16:34:55","ct248","2024-08-16_ct248","canopy",48,"28","4","c_d5_r3","5",83.14,81.88,81.88,0.094,0.132,0.417,0.016,26.898,0,199.223,19.02,10.474,0,"3"
"85","2024-08-16","16:40:02","ct241","2024-08-16_ct241","canopy",41,"35","1","c_d5_r3","5",79.44,75.44,68.46,0.267,0.223,0.43,0.02,21.013,0,184.703,21.927,8.424,0,"3"
"86","2024-08-16","16:45:23","ct242","2024-08-16_ct242","canopy",42,"28","1","c_d5_r3","5",123.19,116.88,116.88,0.398,0.422,0.575,0.021,26.919,0,214.238,21.022,10.191,0,"3"
"87","2024-08-16","16:49:54","ct243","2024-08-16_ct243","canopy",43,"35","2","c_d5_r3","5",115.64,119.72,119.72,0.772,0.698,0.593,0.006,106.86,0,194.923,4.645,41.963,0,"3"
"88","2024-08-16","16:54:14","ct244","2024-08-16_ct244","canopy",44,"28","2","c_d5_r3","5",78.02,72.98,71.25,0.137,0.176,0.42,0.015,28.787,0,185.859,16.144,11.513,0,"3"
"89","2024-08-16","16:59:00","ct205","2024-08-16_ct205","canopy",5,"35","3","c_d5_r3","5",105.88,108.75,108.75,0.744,0.829,0.587,0.022,26.186,0,180.499,17.044,10.59,0,"3"
"90","2024-08-16","17:03:41","ct206","2024-08-16_ct206","canopy",6,"28","3","c_d5_r3","5",90.77,86.92,86.92,0.255,0.338,0.583,0.022,26.727,0,155.713,13.619,11.434,0,"3"
"91","2024-08-16","17:08:25","ct207","2024-08-16_ct207","canopy",7,"35","4","c_d5_r3","5",70.18,68.06,63,0.263,0.191,0.409,0.016,26.036,0,171.736,16.004,10.731,0,"3"
"92","2024-08-16","17:13:20","ct208","2024-08-16_ct208","canopy",8,"28","4","c_d5_r3","5",78.12,75.18,75.18,0.189,0.204,0.599,0.023,25.82,0,130.442,11.034,11.822,0,"3"
"93","2024-08-16","17:18:06","ct201","2024-08-16_ct201","canopy",1,"35","1","c_d5_r3","5",74.67,73.8,70.14,0.866,0.527,0.661,0.038,17.268,0,113.025,13.516,8.362,0,"3"
"94","2024-08-16","17:22:41","ct202","2024-08-16_ct202","canopy",2,"28","1","c_d5_r3","5",107.48,108.24,108.24,0.669,0.583,0.544,0.004,137.447,0,197.672,3.682,53.684,0,"3"
"95","2024-08-16","17:27:58","ct203","2024-08-16_ct203","canopy",3,"35","2","c_d5_r3","5",48.72,53.75,42.84,0.37,0.122,0.312,0.009,34.937,0,156.025,10.447,14.935,0,"3"
"96","2024-08-16","17:32:22","ct204","2024-08-16_ct204","canopy",4,"28","2","c_d5_r3","5",78.56,78.72,75.62,0.04,0.124,0.629,0.037,16.814,0,124.828,15.94,7.831,0,"3"
"97","2024-08-11","07:41:53","ct129","2024-08-11_ct129","canopy",29,"35","3","c_d9_r2","9",80.79,81.18,78.54,0.791,0.476,0.627,0.021,30.186,0,128.83,9.276,13.888,0,"2"
"98","2024-08-11","07:46:46","ct130","2024-08-11_ct130","canopy",30,"28","3","c_d9_r2","9",68.74,63.13,63.13,1.029,0.524,0.544,0.023,23.771,0,126.41,11.474,11.017,0,"2"
"99","2024-08-11","07:51:20","ct131","2024-08-11_ct131","canopy",31,"35","4","c_d9_r2","9",63.28,65.62,65.62,0.637,0.489,0.653,0.011,57.174,0,96.907,3.291,29.449,0,"2"
"100","2024-08-11","07:56:28","ct132","2024-08-11_ct132","canopy",32,"28","4","c_d9_r2","9",61.65,62.32,61.32,0.681,0.358,0.455,0.007,62.142,0,135.597,4.838,28.029,0,"2"
"101","2024-08-11","08:05:22","ct125","2024-08-11_ct125","canopy",25,"35","1","c_d9_r2","9",88.49,84,84,1.099,0.641,0.614,0.028,21.874,0,144.014,14.938,9.641,0,"2"
"102","2024-08-11","08:11:01","ct126","2024-08-11_ct126","canopy",26,"28","1","c_d9_r2","9",68.41,61.27,61.27,1.274,0.819,0.81,0.1,8.108,0,84.467,19.117,4.418,0.004,"2"
"103","2024-08-11","08:16:12","ct127","2024-08-11_ct127","canopy",27,"35","2","c_d9_r2","9",58.87,58.22,55.02,0.55,0.25,0.419,0.011,36.922,0,140.407,8.545,16.432,0,"2"
"104","2024-08-11","08:20:51","ct128","2024-08-11_ct128","canopy",28,"28","2","c_d9_r2","9",85.59,75.18,75.18,0.946,0.523,0.576,0.034,16.852,0,148.71,20.269,7.337,0,"2"
"105","2024-08-11","08:25:13","ct137","2024-08-11_ct137","canopy",37,"35","3","c_d9_r2","9",80.19,73.92,73.92,0.816,0.457,0.531,0.02,26.533,0,150.93,13.14,11.487,0,"2"
"106","2024-08-11","08:29:47","ct138","2024-08-11_ct138","canopy",38,"28","3","c_d9_r2","9",45.13,50.02,43.68,0.381,0.12,0.418,0.008,49.564,0,107.846,4.41,24.454,0,"2"
"107","2024-08-11","08:34:14","ct139","2024-08-11_ct139","canopy",39,"35","4","c_d9_r2","9",81.5,76.25,76.25,0.82,0.404,0.522,0.018,29.769,0,156.217,12.282,12.72,0,"2"
"108","2024-08-11","08:38:43","ct140","2024-08-11_ct140","canopy",40,"28","4","c_d9_r2","9",101.43,101.68,101.68,0.727,0.524,0.514,0.005,94.207,0,197.301,5.358,36.822,0,"2"
"109","2024-08-11","08:43:40","ct133","2024-08-11_ct133","canopy",33,"35","1","c_d9_r2","9",92.61,88.56,88.56,1.395,0.86,0.636,0.029,21.828,0,145.532,15.188,9.582,0,"2"
"110","2024-08-11","08:48:15","ct134","2024-08-11_ct134","canopy",34,"28","1","c_d9_r2","9",84.35,80.64,80.64,1.274,0.829,0.767,0.052,14.771,0,110.023,15.218,7.23,0,"2"
"111","2024-08-11","08:52:42","ct135","2024-08-11_ct135","canopy",35,"35","2","c_d9_r2","9",112.21,111.52,111.52,0.932,0.622,0.616,0.012,50.564,0,182.01,8.929,20.384,0,"2"
"112","2024-08-11","08:57:26","ct136","2024-08-11_ct136","canopy",36,"28","2","c_d9_r2","9",108.06,94.5,94.5,0.735,0.5,0.607,0.027,22.255,0,178.145,19.695,9.045,0,"2"
"113","2024-08-11","09:02:31","ct145","2024-08-11_ct145","canopy",45,"35","3","c_d9_r2","9",72.26,77.9,73.75,0.429,0.353,0.524,0.009,57.12,0,137.85,5.384,25.602,0,"2"
"114","2024-08-11","09:07:16","ct146","2024-08-11_ct146","canopy",46,"28","3","c_d9_r2","9",106.83,96.6,96.6,2.26,1.904,0.602,0.02,29.468,0,177.455,14.794,11.995,0,"2"
