"2023-03-17";"12:03:16";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-03-17 07:57:33.909";"2023-03-17";"07:57:33";"SLCS";"";"Light Curve start ";"hm25"
"2023-03-17 07:57:33.909";"2023-03-17";"07:57:33";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.013, ETRmPot: 16.396 )   (Platt et al. 1980) ";""
"2023-03-17 07:57:33.909";"2023-03-17";"07:57:33";"REG2";"";"#1: alpha: 0.170, ETRm: 23.253, Ik: 136.954   (Jassby and Platt 1976) ";""
"2023-03-17 07:57:35.653";"2023-03-17";"07:57:35";"FO";"2";"88";"249";"0";"0.647";"0.0";"-";"88";"249";"0.647"
"2023-03-17 07:58:05.950";"2023-03-17";"07:58:05";"F";"3";"100";"194";"45";"0.485";"9.2";"0.284";"88";"249";"0.647"
"2023-03-17 07:58:36.243";"2023-03-17";"07:58:36";"F";"4";"106";"182";"66";"0.418";"11.6";"0.368";"88";"249";"0.647"
"2023-03-17 07:59:06.538";"2023-03-17";"07:59:06";"F";"5";"103";"166";"90";"0.380";"14.4";"0.500";"88";"249";"0.647"
"2023-03-17 07:59:36.836";"2023-03-17";"07:59:36";"F";"6";"107";"151";"125";"0.291";"15.3";"0.649";"88";"249";"0.647"
"2023-03-17 08:00:07.129";"2023-03-17";"08:00:07";"F";"7";"110";"144";"190";"0.236";"18.8";"0.729";"88";"249";"0.647"
"2023-03-17 08:00:37.426";"2023-03-17";"08:00:37";"F";"8";"115";"139";"285";"0.173";"20.7";"0.791";"88";"249";"0.647"
"2023-03-17 08:01:07.727";"2023-03-17";"08:01:07";"F";"9";"119";"136";"420";"0.125";"22.1";"0.831";"88";"249";"0.647"
"2023-03-17 08:01:38.020";"2023-03-17";"08:01:38";"F";"10";"122";"136";"625";"0.103";"27.0";"0.831";"88";"249";"0.647"
"2023-03-17 08:01:41.087";"2023-03-17";"08:01:41";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:02:17.574";"2023-03-17";"08:02:17";"SLCS";"";"Light Curve start ";"hm26"
"2023-03-17 08:02:17.574";"2023-03-17";"08:02:17";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 12.211 )   (Platt et al. 1980) ";""
"2023-03-17 08:02:17.574";"2023-03-17";"08:02:17";"REG2";"";"#1: alpha: 0.205, ETRm: 14.254, Ik: 69.629   (Jassby and Platt 1976) ";""
"2023-03-17 08:02:19.310";"2023-03-17";"08:02:19";"FO";"11";"91";"275";"0";"0.669";"0.0";"-";"91";"275";"0.669"
"2023-03-17 08:02:49.605";"2023-03-17";"08:02:49";"F";"12";"101";"189";"45";"0.466";"8.8";"0.455";"91";"275";"0.669"
"2023-03-17 08:03:19.905";"2023-03-17";"08:03:19";"F";"13";"106";"174";"66";"0.391";"10.8";"0.580";"91";"275";"0.669"
"2023-03-17 08:03:50.201";"2023-03-17";"08:03:50";"F";"14";"112";"162";"90";"0.309";"11.7";"0.698";"91";"275";"0.669"
"2023-03-17 08:04:20.496";"2023-03-17";"08:04:20";"F";"15";"117";"153";"125";"0.235";"12.3";"0.797";"91";"275";"0.669"
"2023-03-17 08:04:50.792";"2023-03-17";"08:04:50";"F";"16";"121";"147";"190";"0.177";"14.1";"0.871";"91";"275";"0.669"
"2023-03-17 08:05:21.088";"2023-03-17";"08:05:21";"F";"17";"126";"142";"285";"0.113";"13.5";"0.937";"91";"275";"0.669"
"2023-03-17 08:05:51.384";"2023-03-17";"08:05:51";"F";"18";"130";"141";"420";"0.078";"13.8";"0.950";"91";"275";"0.669"
"2023-03-17 08:06:21.676";"2023-03-17";"08:06:21";"F";"19";"133";"142";"625";"0.063";"16.5";"0.937";"91";"275";"0.669"
"2023-03-17 08:06:24.950";"2023-03-17";"08:06:24";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:07:25.609";"2023-03-17";"08:07:25";"SLCS";"";"Light Curve start ";"hm27"
"2023-03-17 08:07:25.609";"2023-03-17";"08:07:25";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.013, ETRmPot: 14.454 )   (Platt et al. 1980) ";""
"2023-03-17 08:07:25.609";"2023-03-17";"08:07:25";"REG2";"";"#1: alpha: 0.157, ETRm: 21.296, Ik: 135.412   (Jassby and Platt 1976) ";""
"2023-03-17 08:07:27.268";"2023-03-17";"08:07:27";"FO";"20";"97";"242";"0";"0.599";"0.0";"-";"97";"242";"0.599"
"2023-03-17 08:07:57.567";"2023-03-17";"08:07:57";"F";"21";"107";"189";"45";"0.434";"8.2";"0.280";"97";"242";"0.599"
"2023-03-17 08:08:27.862";"2023-03-17";"08:08:27";"F";"22";"110";"183";"66";"0.399";"11.1";"0.322";"97";"242";"0.599"
"2023-03-17 08:08:58.157";"2023-03-17";"08:08:58";"F";"23";"113";"170";"90";"0.335";"12.7";"0.424";"97";"242";"0.599"
"2023-03-17 08:09:28.453";"2023-03-17";"08:09:28";"F";"24";"116";"162";"125";"0.284";"14.9";"0.494";"97";"242";"0.599"
"2023-03-17 08:09:58.753";"2023-03-17";"08:09:58";"F";"25";"121";"154";"190";"0.214";"17.1";"0.571";"97";"242";"0.599"
"2023-03-17 08:10:29.046";"2023-03-17";"08:10:29";"F";"26";"125";"147";"285";"0.150";"18.0";"0.646";"97";"242";"0.599"
"2023-03-17 08:10:59.343";"2023-03-17";"08:10:59";"F";"27";"128";"145";"420";"0.117";"20.6";"0.669";"97";"242";"0.599"
"2023-03-17 08:11:29.633";"2023-03-17";"08:11:29";"F";"28";"132";"146";"625";"0.096";"25.2";"0.658";"97";"242";"0.599"
"2023-03-17 08:11:32.252";"2023-03-17";"08:11:32";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:12:06.921";"2023-03-17";"08:12:06";"SLCS";"";"Light Curve start ";"hm28"
"2023-03-17 08:12:06.921";"2023-03-17";"08:12:06";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 12.796 )   (Platt et al. 1980) ";""
"2023-03-17 08:12:06.921";"2023-03-17";"08:12:06";"REG2";"";"#1: alpha: 0.261, ETRm: 14.268, Ik: 54.582   (Jassby and Platt 1976) ";""
"2023-03-17 08:12:08.637";"2023-03-17";"08:12:08";"FO";"29";"100";"275";"0";"0.636";"0.0";"-";"100";"275";"0.636"
"2023-03-17 08:12:38.926";"2023-03-17";"08:12:38";"F";"30";"115";"224";"45";"0.487";"9.2";"0.228";"100";"275";"0.636"
"2023-03-17 08:13:09.222";"2023-03-17";"08:13:09";"F";"31";"116";"206";"66";"0.437";"12.1";"0.335";"100";"275";"0.636"
"2023-03-17 08:13:39.518";"2023-03-17";"08:13:39";"F";"32";"116";"185";"90";"0.373";"14.1";"0.486";"100";"275";"0.636"
"2023-03-17 08:14:09.815";"2023-03-17";"08:14:09";"F";"33";"120";"162";"125";"0.259";"13.6";"0.698";"100";"275";"0.636"
"2023-03-17 08:14:40.112";"2023-03-17";"08:14:40";"F";"34";"123";"148";"190";"0.169";"13.5";"0.858";"100";"275";"0.636"
"2023-03-17 08:15:10.404";"2023-03-17";"08:15:10";"F";"35";"126";"142";"285";"0.113";"13.5";"0.937";"100";"275";"0.636"
"2023-03-17 08:15:40.699";"2023-03-17";"08:15:40";"F";"36";"129";"139";"420";"0.072";"12.7";"0.978";"100";"275";"0.636"
"2023-03-17 08:16:11.001";"2023-03-17";"08:16:11";"F";"37";"130";"139";"625";"0.065";"17.1";"0.978";"100";"275";"0.636"
"2023-03-17 08:16:13.795";"2023-03-17";"08:16:13";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:16:43.057";"2023-03-17";"08:16:43";"SLCS";"";"Light Curve start ";"hm29"
"2023-03-17 08:16:43.057";"2023-03-17";"08:16:43";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.015, ETRmPot: 14.323 )   (Platt et al. 1980) ";""
"2023-03-17 08:16:43.057";"2023-03-17";"08:16:43";"REG2";"";"#1: alpha: 0.235, ETRm: 21.302, Ik: 90.710   (Jassby and Platt 1976) ";""
"2023-03-17 08:16:44.793";"2023-03-17";"08:16:44";"FO";"38";"90";"250";"0";"0.640";"0.0";"-";"90";"250";"0.640"
"2023-03-17 08:17:15.091";"2023-03-17";"08:17:15";"F";"39";"95";"242";"45";"0.607";"11.5";"0.033";"90";"250";"0.640"
"2023-03-17 08:17:45.386";"2023-03-17";"08:17:45";"F";"40";"101";"214";"66";"0.528";"14.6";"0.168";"90";"250";"0.640"
"2023-03-17 08:18:15.677";"2023-03-17";"08:18:15";"F";"41";"97";"166";"90";"0.416";"15.7";"0.506";"90";"250";"0.640"
"2023-03-17 08:18:45.981";"2023-03-17";"08:18:45";"F";"42";"99";"145";"125";"0.317";"16.6";"0.724";"90";"250";"0.640"
"2023-03-17 08:19:16.276";"2023-03-17";"08:19:16";"F";"43";"102";"131";"190";"0.221";"17.6";"0.908";"90";"250";"0.640"
"2023-03-17 08:19:46.572";"2023-03-17";"08:19:46";"F";"44";"102";"122";"285";"0.164";"19.6";"1.049";"90";"250";"0.640"
"2023-03-17 08:20:16.862";"2023-03-17";"08:20:16";"F";"45";"105";"118";"420";"0.110";"19.4";"1.119";"90";"250";"0.640"
"2023-03-17 08:20:47.166";"2023-03-17";"08:20:47";"F";"46";"107";"120";"625";"0.108";"28.4";"1.083";"90";"250";"0.640"
"2023-03-17 08:20:50.109";"2023-03-17";"08:20:50";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:21:13.320";"2023-03-17";"08:21:13";"SLCS";"";"Light Curve start ";"hm30"
"2023-03-17 08:21:13.320";"2023-03-17";"08:21:13";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 17.093 )   (Platt et al. 1980) ";""
"2023-03-17 08:21:13.320";"2023-03-17";"08:21:13";"REG2";"";"#1: alpha: 0.289, ETRm: 17.462, Ik: 60.416   (Jassby and Platt 1976) ";""
"2023-03-17 08:21:15.054";"2023-03-17";"08:21:15";"FO";"47";"78";"242";"0";"0.678";"0.0";"-";"78";"242";"0.678"
"2023-03-17 08:21:45.349";"2023-03-17";"08:21:45";"F";"48";"88";"233";"45";"0.622";"11.8";"0.039";"78";"242";"0.678"
"2023-03-17 08:22:15.644";"2023-03-17";"08:22:15";"F";"49";"90";"181";"66";"0.503";"13.9";"0.337";"78";"242";"0.678"
"2023-03-17 08:22:45.943";"2023-03-17";"08:22:45";"F";"50";"90";"149";"90";"0.396";"15.0";"0.624";"78";"242";"0.678"
"2023-03-17 08:23:16.245";"2023-03-17";"08:23:16";"F";"51";"93";"133";"125";"0.301";"15.8";"0.820";"78";"242";"0.678"
"2023-03-17 08:23:46.539";"2023-03-17";"08:23:46";"F";"52";"93";"121";"190";"0.231";"18.4";"1.000";"78";"242";"0.678"
"2023-03-17 08:24:16.836";"2023-03-17";"08:24:16";"F";"53";"96";"114";"285";"0.158";"18.9";"1.123";"78";"242";"0.678"
"2023-03-17 08:24:47.124";"2023-03-17";"08:24:47";"F";"54";"100";"109";"420";"0.083";"14.6";"1.220";"78";"242";"0.678"
"2023-03-17 08:25:17.428";"2023-03-17";"08:25:17";"F";"55";"102";"110";"625";"0.073";"19.2";"1.200";"78";"242";"0.678"
"2023-03-17 08:25:19.881";"2023-03-17";"08:25:19";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:25:39.940";"2023-03-17";"08:25:39";"SLCS";"";"Light Curve start ";"hm31"
"2023-03-17 08:25:39.940";"2023-03-17";"08:25:39";"REG1";"";"#1: alpha: 0.444, ETRm: 16.696, Ik: 37.574   ( beta: 0.001, ETRmPot: 16.908 )   (Platt et al. 1980) ";""
"2023-03-17 08:25:39.940";"2023-03-17";"08:25:39";"REG2";"";"#1: alpha: 0.307, ETRm: 16.604, Ik: 54.164   (Jassby and Platt 1976) ";""
"2023-03-17 08:25:41.624";"2023-03-17";"08:25:41";"FO";"56";"111";"287";"0";"0.613";"0.0";"-";"111";"287";"0.613"
"2023-03-17 08:26:11.921";"2023-03-17";"08:26:11";"F";"57";"126";"277";"45";"0.545";"10.3";"0.036";"111";"287";"0.613"
"2023-03-17 08:26:42.212";"2023-03-17";"08:26:42";"F";"58";"124";"262";"66";"0.527";"14.6";"0.095";"111";"287";"0.613"
"2023-03-17 08:27:12.511";"2023-03-17";"08:27:12";"F";"59";"122";"212";"90";"0.425";"16.1";"0.354";"111";"287";"0.613"
"2023-03-17 08:27:42.804";"2023-03-17";"08:27:42";"F";"60";"124";"183";"125";"0.322";"16.9";"0.568";"111";"287";"0.613"
"2023-03-17 08:28:13.100";"2023-03-17";"08:28:13";"F";"61";"127";"162";"190";"0.216";"17.2";"0.772";"111";"287";"0.613"
"2023-03-17 08:28:43.397";"2023-03-17";"08:28:43";"F";"62";"133";"153";"285";"0.131";"15.7";"0.876";"111";"287";"0.613"
"2023-03-17 08:29:13.696";"2023-03-17";"08:29:13";"F";"63";"135";"147";"420";"0.082";"14.5";"0.952";"111";"287";"0.613"
"2023-03-17 08:29:43.985";"2023-03-17";"08:29:43";"F";"64";"137";"147";"625";"0.068";"17.9";"0.952";"111";"287";"0.613"
"2023-03-17 08:29:47.123";"2023-03-17";"08:29:47";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:30:16.083";"2023-03-17";"08:30:16";"SLCS";"";"Light Curve start ";"hm32"
"2023-03-17 08:30:16.083";"2023-03-17";"08:30:16";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 15.559 )   (Platt et al. 1980) ";""
"2023-03-17 08:30:16.083";"2023-03-17";"08:30:16";"REG2";"";"#1: alpha: 0.195, ETRm: 20.207, Ik: 103.727   (Jassby and Platt 1976) ";""
"2023-03-17 08:30:17.787";"2023-03-17";"08:30:17";"FO";"65";"121";"299";"0";"0.595";"0.0";"-";"121";"299";"0.595"
"2023-03-17 08:30:48.080";"2023-03-17";"08:30:48";"F";"66";"137";"262";"45";"0.477";"9.0";"0.141";"121";"299";"0.595"
"2023-03-17 08:31:18.373";"2023-03-17";"08:31:18";"F";"67";"132";"238";"66";"0.445";"12.3";"0.256";"121";"299";"0.595"
"2023-03-17 08:31:48.671";"2023-03-17";"08:31:48";"F";"68";"134";"215";"90";"0.377";"14.3";"0.391";"121";"299";"0.595"
"2023-03-17 08:32:18.965";"2023-03-17";"08:32:18";"F";"69";"137";"195";"125";"0.297";"15.6";"0.533";"121";"299";"0.595"
"2023-03-17 08:32:49.259";"2023-03-17";"08:32:49";"F";"70";"140";"181";"190";"0.227";"18.1";"0.652";"121";"299";"0.595"
"2023-03-17 08:33:19.557";"2023-03-17";"08:33:19";"F";"71";"144";"170";"285";"0.153";"18.3";"0.759";"121";"299";"0.595"
"2023-03-17 08:33:49.852";"2023-03-17";"08:33:49";"F";"72";"146";"164";"420";"0.110";"19.4";"0.823";"121";"299";"0.595"
"2023-03-17 08:34:20.149";"2023-03-17";"08:34:20";"F";"73";"149";"164";"625";"0.091";"23.9";"0.823";"121";"299";"0.595"
"2023-03-17 08:34:23.232";"2023-03-17";"08:34:23";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:34:58.843";"2023-03-17";"08:34:58";"SLCS";"";"Light Curve start ";"hm33"
"2023-03-17 08:34:58.843";"2023-03-17";"08:34:58";"REG1";"";"#1: alpha: 1.015, ETRm: 11.112, Ik: 10.943   ( beta: 0.000, ETRmPot: 11.156 )   (Platt et al. 1980) ";""
"2023-03-17 08:34:58.843";"2023-03-17";"08:34:58";"REG2";"";"#1: alpha: 0.599, ETRm: 11.048, Ik: 18.449   (Jassby and Platt 1976) ";""
"2023-03-17 08:35:00.544";"2023-03-17";"08:35:00";"FO";"74";"98";"317";"0";"0.691";"0.0";"-";"98";"317";"0.691"
"2023-03-17 08:35:30.833";"2023-03-17";"08:35:30";"F";"75";"110";"253";"45";"0.565";"10.7";"0.253";"98";"317";"0.691"
"2023-03-17 08:36:01.140";"2023-03-17";"08:36:01";"F";"76";"112";"200";"66";"0.440";"12.2";"0.585";"98";"317";"0.691"
"2023-03-17 08:36:31.429";"2023-03-17";"08:36:31";"F";"77";"114";"163";"90";"0.301";"11.4";"0.945";"98";"317";"0.691"
"2023-03-17 08:37:01.716";"2023-03-17";"08:37:01";"F";"78";"116";"147";"125";"0.211";"11.1";"1.156";"98";"317";"0.691"
"2023-03-17 08:37:32.027";"2023-03-17";"08:37:32";"F";"79";"122";"140";"190";"0.129";"10.3";"1.264";"98";"317";"0.691"
"2023-03-17 08:38:02.324";"2023-03-17";"08:38:02";"F";"80";"125";"137";"285";"0.088";"10.5";"1.314";"98";"317";"0.691"
"2023-03-17 08:38:32.612";"2023-03-17";"08:38:32";"F";"81";"128";"136";"420";"0.059";"10.4";"1.331";"98";"317";"0.691"
"2023-03-17 08:39:02.912";"2023-03-17";"08:39:02";"F";"82";"130";"136";"625";"0.044";"11.6";"1.331";"98";"317";"0.691"
"2023-03-17 08:39:05.974";"2023-03-17";"08:39:05";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:39:47.761";"2023-03-17";"08:39:47";"SLCS";"";"Light Curve start ";"hm34"
"2023-03-17 08:39:47.761";"2023-03-17";"08:39:47";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 16.451 )   (Platt et al. 1980) ";""
"2023-03-17 08:39:47.761";"2023-03-17";"08:39:47";"REG2";"";"#1: alpha: 0.232, ETRm: 21.066, Ik: 90.636   (Jassby and Platt 1976) ";""
"2023-03-17 08:39:49.508";"2023-03-17";"08:39:49";"FO";"83";"74";"228";"0";"0.675";"0.0";"-";"74";"228";"0.675"
"2023-03-17 08:40:19.804";"2023-03-17";"08:40:19";"F";"84";"82";"203";"45";"0.596";"11.3";"0.123";"74";"228";"0.675"
"2023-03-17 08:40:50.099";"2023-03-17";"08:40:50";"F";"85";"83";"168";"66";"0.506";"14.0";"0.357";"74";"228";"0.675"
"2023-03-17 08:41:20.393";"2023-03-17";"08:41:20";"F";"86";"83";"142";"90";"0.415";"15.7";"0.606";"74";"228";"0.675"
"2023-03-17 08:41:50.685";"2023-03-17";"08:41:50";"F";"87";"86";"125";"125";"0.312";"16.4";"0.824";"74";"228";"0.675"
"2023-03-17 08:42:20.980";"2023-03-17";"08:42:20";"F";"88";"87";"113";"190";"0.230";"18.4";"1.018";"74";"228";"0.675"
"2023-03-17 08:42:51.278";"2023-03-17";"08:42:51";"F";"89";"89";"108";"285";"0.176";"21.1";"1.111";"74";"228";"0.675"
"2023-03-17 08:43:21.579";"2023-03-17";"08:43:21";"F";"90";"94";"106";"420";"0.113";"19.9";"1.151";"74";"228";"0.675"
"2023-03-17 08:43:51.875";"2023-03-17";"08:43:51";"F";"91";"95";"105";"625";"0.095";"24.9";"1.171";"74";"228";"0.675"
"2023-03-17 08:43:54.698";"2023-03-17";"08:43:54";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:44:30.429";"2023-03-17";"08:44:30";"SLCS";"";"Light Curve start ";"hm35"
"2023-03-17 08:44:30.429";"2023-03-17";"08:44:30";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.013, ETRmPot: 14.830 )   (Platt et al. 1980) ";""
"2023-03-17 08:44:30.429";"2023-03-17";"08:44:30";"REG2";"";"#1: alpha: 0.246, ETRm: 20.479, Ik: 83.411   (Jassby and Platt 1976) ";""
"2023-03-17 08:44:32.165";"2023-03-17";"08:44:32";"FO";"92";"92";"247";"0";"0.628";"0.0";"-";"92";"247";"0.628"
"2023-03-17 08:45:02.459";"2023-03-17";"08:45:02";"F";"93";"109";"248";"45";"0.560";"10.6";"- 0.004";"92";"247";"0.628"
"2023-03-17 08:45:32.757";"2023-03-17";"08:45:32";"F";"94";"109";"223";"66";"0.511";"14.2";"0.108";"92";"247";"0.628"
"2023-03-17 08:46:03.055";"2023-03-17";"08:46:03";"F";"95";"105";"179";"90";"0.413";"15.6";"0.380";"92";"247";"0.628"
"2023-03-17 08:46:33.354";"2023-03-17";"08:46:33";"F";"96";"106";"162";"125";"0.346";"18.2";"0.525";"92";"247";"0.628"
"2023-03-17 08:47:03.641";"2023-03-17";"08:47:03";"F";"97";"112";"146";"190";"0.233";"18.6";"0.692";"92";"247";"0.628"
"2023-03-17 08:47:33.937";"2023-03-17";"08:47:33";"F";"98";"114";"134";"285";"0.149";"17.8";"0.843";"92";"247";"0.628"
"2023-03-17 08:48:04.236";"2023-03-17";"08:48:04";"F";"99";"118";"131";"420";"0.099";"17.5";"0.885";"92";"247";"0.628"
"2023-03-17 08:48:34.535";"2023-03-17";"08:48:34";"F";"100";"119";"133";"625";"0.105";"27.6";"0.857";"92";"247";"0.628"
"2023-03-17 08:48:37.339";"2023-03-17";"08:48:37";"SLCE";"";"Light Curve end ";""
"2023-03-17 08:49:30.118";"2023-03-17";"08:49:30";"SLCS";"";"Light Curve start ";"hm36"
"2023-03-17 08:49:30.118";"2023-03-17";"08:49:30";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 13.286 )   (Platt et al. 1980) ";""
"2023-03-17 08:49:30.118";"2023-03-17";"08:49:30";"REG2";"";"#1: alpha: 0.237, ETRm: 17.361, Ik: 73.362   (Jassby and Platt 1976) ";""
"2023-03-17 08:49:31.828";"2023-03-17";"08:49:31";"FO";"101";"91";"247";"0";"0.632";"0.0";"-";"91";"247";"0.632"
"2023-03-17 08:50:02.126";"2023-03-17";"08:50:02";"F";"102";"105";"238";"45";"0.559";"10.6";"0.038";"91";"247";"0.632"
"2023-03-17 08:50:32.413";"2023-03-17";"08:50:32";"F";"103";"104";"192";"66";"0.458";"12.7";"0.286";"91";"247";"0.632"
"2023-03-17 08:51:02.711";"2023-03-17";"08:51:02";"F";"104";"108";"172";"90";"0.372";"14.1";"0.436";"91";"247";"0.632"
"2023-03-17 08:51:33.004";"2023-03-17";"08:51:33";"F";"105";"112";"156";"125";"0.282";"14.8";"0.583";"91";"247";"0.632"
"2023-03-17 08:52:03.304";"2023-03-17";"08:52:03";"F";"106";"115";"143";"190";"0.196";"15.6";"0.727";"91";"247";"0.632"
"2023-03-17 08:52:33.595";"2023-03-17";"08:52:33";"F";"107";"119";"136";"285";"0.125";"15.0";"0.816";"91";"247";"0.632"
"2023-03-17 08:53:03.898";"2023-03-17";"08:53:03";"F";"108";"121";"135";"420";"0.104";"18.3";"0.830";"91";"247";"0.632"
"2023-03-17 08:53:34.189";"2023-03-17";"08:53:34";"F";"109";"125";"136";"625";"0.081";"21.3";"0.816";"91";"247";"0.632"
